Wall time,Step,Value
1653952443.5742028,0,0.9004572033882141
1653952464.76084,1,0.8726101517677307
1653952486.13477,2,0.8636741638183594
1653952507.2536387,3,0.8653366565704346
1653952528.3159213,4,0.8117206692695618
1653952549.2949657,5,0.8632585406303406
1653952570.2697573,6,0.8509975075721741
1653952591.4502397,7,0.8499584197998047
1653952612.4469993,8,0.8472568392753601
1653952633.8215775,9,0.8208644986152649
1653952655.1742182,10,0.8615959882736206
1653952676.2986035,11,0.8441396355628967
1653952697.245475,12,0.8478803038597107
1653952718.3611922,13,0.8501662611961365
1653952739.6803274,14,0.8601413369178772
1653952757.5618317,15,0.8061097264289856
1653952778.3047767,16,0.8252285718917847
1653952799.5352483,17,0.8254364132881165
1653952820.5089767,18,0.8584787845611572
1653952841.3589385,19,0.8678303956985474
1653952862.4010437,20,0.852867841720581
1653952883.4325771,21,0.8032003045082092
1653952904.5389578,22,0.8555694222450256
1653952925.9946995,23,0.8437240123748779
1653952946.9433167,24,0.8711554408073425
1653952968.2631984,25,0.8455943465232849
1653952989.4708245,26,0.839775562286377
1653953010.6912851,27,0.8374896049499512
1653953031.9632738,28,0.8414380550384521
1653953053.2547648,29,0.8580631613731384
1653953074.399587,30,0.912302553653717
1653953095.3891983,31,0.8981712460517883
1653953116.2553718,32,0.8946384191513062
1653953137.401587,33,0.9023275375366211
1653953158.3739064,34,0.8771820664405823
1653953177.7911222,35,0.8869493007659912
1653953197.6376352,36,0.889443039894104
1653953218.5056264,37,0.9021196961402893
1653953239.7899177,38,0.9014962315559387
1653953260.8836553,39,0.8827930092811584
1653953281.9761944,40,0.881546139717102
1653953303.1684287,41,0.889443039894104
1653953324.1356502,42,0.8985868692398071
1653953345.4293075,43,0.8917289972305298
1653953366.5056605,44,0.8850789666175842
1653953387.7476215,45,0.8827930092811584
1653953408.7899408,46,0.8817539215087891
1653953429.9311678,47,0.8933915495872498
1653953451.0602806,48,0.897132158279419
1653953472.1875324,49,0.8732335567474365
1653953493.4670656,50,0.8846633434295654
1653953514.3640277,51,0.8965087532997131
1653953535.4606519,52,0.864713191986084
1653953556.6311364,53,0.8890274167060852
1653953577.7211812,54,0.897132158279419
1653953599.0885637,55,0.8792601823806763
1653953616.2891688,56,0.8613882064819336
1653953637.0557237,57,0.8940149545669556
1653953658.150667,58,0.8830008506774902
1653953679.348352,59,0.8890274167060852
1653953700.426294,60,0.9229010939598083
1653953721.7680032,61,0.919991672039032
1653953742.9234705,62,0.9208229184150696
1653953764.0143025,63,0.9214463829994202
1653953785.313603,64,0.9164588451385498
1653953806.7215512,65,0.9112635254859924
1653953827.9338706,66,0.9191604256629944
1653953849.2250714,67,0.9100165963172913
1653953870.3771596,68,0.9183291792869568
1653953891.7925613,69,0.9135494828224182
1653953913.053774,70,0.917913556098938
1653953934.204837,71,0.9050291180610657
1653953955.3149595,72,0.9006649851799011
1653953976.4765913,73,0.9168744683265686
1653953997.8238692,74,0.9039900302886963
1653954018.9843714,75,0.9150041341781616
1653954038.335147,76,0.9154197573661804
1653954060.1518054,77,0.910224437713623
1653954081.5889847,78,0.9145885109901428
1653954102.831047,79,0.9058603644371033
1653954123.782429,80,0.9166666865348816
1653954145.0485606,81,0.9118869304656982
1653954166.1917942,82,0.9135494828224182
1653954187.2928903,83,0.9108479022979736
1653954208.0352,84,0.9096009731292725
1653954229.129133,85,0.9046134948730469
1653954250.1007214,86,0.9058603644371033
1653954271.4014792,87,0.9116791486740112
1653954292.3207843,88,0.9052368998527527
1653954313.4629939,89,0.9021196961402893
1653954334.5979552,90,0.9262260794639587
1653954355.700525,91,0.9280964136123657
1653954377.0405056,92,0.9247714281082153
1653954398.0547295,93,0.9287198781967163
1653954419.29014,94,0.9297589063644409
1653954440.7410102,95,0.9260182976722717
1653954461.6818752,96,0.9320448637008667
1653954478.2350643,97,0.9295511245727539
1653954499.47843,98,0.9266417026519775
1653954520.4211886,99,0.9303823709487915
1653954541.420189,100,0.9297589063644409
1653954562.4976802,101,0.9328761696815491
1653954583.5224333,102,0.9318370819091797
1653954604.6352398,103,0.9243558049201965
1653954625.910062,104,0.9268495440483093
1653954647.1398513,105,0.9305902123451233
1653954668.370553,106,0.9260182976722717
1653954689.6385293,107,0.9314214587211609
1653954710.6240032,108,0.9249792098999023
1653954731.9369848,109,0.9305902123451233
1653954753.0375237,110,0.9253948330879211
1653954774.247267,111,0.9287198781967163
1653954795.4286013,112,0.9297589063644409
1653954816.5850112,113,0.9258104562759399
1653954837.581148,114,0.9224854707717896
1653954858.705601,115,0.923940122127533
1653954880.1374013,116,0.9235244989395142
1653954897.6938252,117,0.9233167171478271
1653954919.3307865,118,0.918121337890625
1653954940.5332587,119,0.9251870512962341
1653954961.8571255,120,0.9260182976722717
1653954983.1855311,121,0.9301745891571045
1653955004.2997594,122,0.9347464442253113
1653955025.6662169,123,0.9305902123451233
1653955046.7986236,124,0.9324604868888855
1653955067.70135,125,0.9326683282852173
1653955088.8051665,126,0.9328761696815491
1653955109.9931016,127,0.9345386624336243
1653955131.137579,128,0.9305902123451233
1653955152.15672,129,0.9312136173248291
1653955173.2472563,130,0.9301745891571045
1653955194.178921,131,0.9330839514732361
1653955215.2460148,132,0.9341230392456055
1653955236.4498765,133,0.9330839514732361
1653955257.3871486,134,0.9341230392456055
1653955278.497726,135,0.9359933733940125
1653955299.4798932,136,0.9318370819091797
1653955320.660023,137,0.938902735710144
1653955338.3273478,138,0.9364089965820312
1653955366.4144886,139,0.9362011551856995
1653955394.3187776,140,0.9345386624336243
1653955422.4040437,141,0.9334995746612549
1653955450.367226,142,0.9332917928695679
1653955478.4592662,143,0.9324604868888855
1653955506.9674313,144,0.9337074160575867
1653955535.4282398,145,0.9299667477607727
1653955563.7554743,146,0.9307979941368103
1653955592.1410024,147,0.9334995746612549
1653955620.3919995,148,0.9322527050971985
1653955648.970241,149,0.9362011551856995
1653955677.5724635,150,0.9364089965820312
1653955706.1543927,151,0.9374480247497559
1653955734.6770933,152,0.9355777502059937
1653955763.2418785,153,0.9347464442253113
1653955791.8392406,154,0.9353699088096619
1653955820.1853273,155,0.9372402429580688
1653955848.516799,156,0.93682461977005
1653955876.6627612,157,0.9374480247497559
1653955904.6942902,158,0.9374480247497559
1653955932.6107268,159,0.9349542856216431
