run,operation,started,time,status,label,blocker,data_location,dataset,gpu,model,postprune_epochs,preprune_epochs,pruner,save_path,sparsity,step,Accuracy/postprune,Loss/postprune,Sparsity,alignment_score,best_post_acc,best_post_loss,best_pre_acc,best_pre_loss,immediate_post_acc,immediate_post_loss,Accuracy/preprune,Loss/preprune
9f9b20cb,main.py,2022-07-02 00:52:38,0:00:22,error,resnet20_cifar10,none,/home/yliu/torch_subspace/data/,cifar10,cuda,resnet20,160,160,alignment_variance,/home/yliu/torch_subspace/checkpoint/resnet20_cifar10_epoch_160,0.89,,,,,,,,,,,,,
18d87cbf,main.py,2022-07-02 00:52:20,0:00:22,error,resnet20_cifar10,none,/home/yliu/torch_subspace/data/,cifar10,cuda,resnet20,160,160,alignment_variance,/home/yliu/torch_subspace/checkpoint/resnet20_cifar10_epoch_160,0.93,,,,,,,,,,,,,
7459123c,main.py,2022-07-02 00:52:15,0:00:22,error,resnet20_cifar10,none,/home/yliu/torch_subspace/data/,cifar10,cuda,resnet20,160,160,alignment_variance,/home/yliu/torch_subspace/checkpoint/resnet20_cifar10_epoch_160,0.96,,,,,,,,,,,,,
cae74769,main.py,2022-07-02 00:51:57,0:00:21,error,resnet20_cifar10,none,/home/yliu/torch_subspace/data/,cifar10,cuda,resnet20,160,160,alignment_variance,/home/yliu/torch_subspace/checkpoint/resnet20_cifar10_epoch_160,0.98,,,,,,,,,,,,,
ba632c83,main.py,2022-07-02 00:51:52,0:00:22,error,resnet20_cifar10,none,/home/yliu/torch_subspace/data/,cifar10,cuda,resnet20,160,160,alignment_variance,/home/yliu/torch_subspace/checkpoint/resnet20_cifar10_epoch_160,0.99,,,,,,,,,,,,,
f67375ac,main.py,2022-07-02 00:50:28,0:49:51,completed,resnet20_cifar10,none,/home/yliu/torch_subspace/data/,cifar10,cuda,resnet20,160,160,magnitude,/home/yliu/torch_subspace/checkpoint/resnet20_cifar10_epoch_160,0.89,160,0.7736999988555908,0.6785585284233093,0.875,17.812047958374023,0.7738000154495239,0.6785585284233093,0.9070000052452087,0.3777996003627777,0.10000000149011612,2.966364622116089,,
6cee1de6,main.py,2022-07-02 00:50:23,0:49:28,completed,resnet20_cifar10,none,/home/yliu/torch_subspace/data/,cifar10,cuda,resnet20,160,160,magnitude,/home/yliu/torch_subspace/checkpoint/resnet20_cifar10_epoch_160,0.93,160,0.10000000149011612,2.302583694458008,0.9246000051498413,19.26953887939453,0.10000000149011612,2.302499532699585,0.9070000052452087,0.3777996003627777,0.10000000149011612,3.7915778160095215,,
475aca22,main.py,2022-07-02 00:50:22,0:49:44,completed,resnet20_cifar10,none,/home/yliu/torch_subspace/data/,cifar10,cuda,resnet20,160,160,magnitude,/home/yliu/torch_subspace/checkpoint/resnet20_cifar10_epoch_160,0.96,160,0.10000000149011612,2.3025856018066406,0.9639999866485596,20.71770477294922,0.10000000149011612,2.3025472164154053,0.9070000052452087,0.3777996003627777,0.10000000149011612,3.8656389713287354,,
8775fcec,main.py,2022-07-02 00:50:19,0:49:44,completed,resnet20_cifar10,none,/home/yliu/torch_subspace/data/,cifar10,cuda,resnet20,160,160,magnitude,/home/yliu/torch_subspace/checkpoint/resnet20_cifar10_epoch_160,0.98,160,0.10000000149011612,2.302579879760742,0.9930999875068665,19.471338272094727,0.10000000149011612,2.302523136138916,0.9070000052452087,0.3777996003627777,0.10000000149011612,3.654650926589966,,
657f4b41,main.py,2022-07-02 00:50:06,0:49:33,completed,resnet20_cifar10,none,/home/yliu/torch_subspace/data/,cifar10,cuda,resnet20,160,160,magnitude,/home/yliu/torch_subspace/checkpoint/resnet20_cifar10_epoch_160,0.99,160,0.10000000149011612,2.302583694458008,0.9977999925613403,19.25835609436035,0.10000000149011612,2.3024630546569824,0.9070000052452087,0.3777996003627777,0.10000000149011612,3.618945598602295,,
5f07e7e4,main.py,2022-07-02 00:49:56,0:48:44,completed,resnet20_cifar10,none,/home/yliu/torch_subspace/data/,cifar10,cuda,resnet20,160,160,relative_error,/home/yliu/torch_subspace/checkpoint/resnet20_cifar10_epoch_160,0.89,160,0.7882999777793884,0.6414228677749634,0.8902999758720398,19.2496280670166,0.7893999814987183,0.637506365776062,0.9070000052452087,0.3777996003627777,0.10000000149011612,3.1616628170013428,,
c279c267,main.py,2022-07-02 00:49:41,0:48:47,completed,resnet20_cifar10,none,/home/yliu/torch_subspace/data/,cifar10,cuda,resnet20,160,160,relative_error,/home/yliu/torch_subspace/checkpoint/resnet20_cifar10_epoch_160,0.93,160,0.6814000010490417,0.9015477895736694,0.9315999746322632,18.602354049682617,0.6859999895095825,0.8944411873817444,0.9070000052452087,0.3777996003627777,0.10000000149011612,3.097604513168335,,
