run,operation,started,time,status,label,blocker,dataset,gpu,model,postprune_epochs,preprune_epochs,pruner,sparsity,step,Accuracy/postprune,Accuracy/preprune,Loss/postprune,Loss/preprune,Sparsity,best_post_acc,best_post_loss,best_pre_acc,best_pre_loss,immediate_post_acc,immediate_post_loss
1dd45d78,main.py,2022-05-24 18:44:16,1:46:37,completed,vgg16_cifar10,none,cifar10,cuda,vgg16,160,160,magnitude,0.5,160,0.9388999938964844,0.9348000288009644,0.2745380997657776,0.31144580245018005,0.5831000208854675,0.9398000240325928,0.27310696244239807,0.9369999766349792,0.2940446436405182,0.9352999925613403,0.3128666579723358
bd2c6bfa,main.py,2022-05-24 18:43:20,2:13:36,completed,vgg16_cifar10,none,cifar10,cuda,vgg16,160,160,magnitude,0.7,160,0.9376999735832214,0.9355999827384949,0.2949475944042206,0.3152729272842407,0.7865999937057495,0.9391999840736389,0.2941477596759796,0.9365000128746033,0.30697351694107056,0.8780999779701233,1.2117674350738525
b95d324a,main.py,2022-05-24 18:43:01,1:46:51,completed,vgg16_cifar10,none,cifar10,cuda,vgg16,160,160,magnitude,0.89,160,0.10000000149011612,0.933899998664856,2.3025879859924316,0.3208331763744354,0.9330000281333923,0.10000000149011612,2.3024563789367676,0.9347000122070312,0.3191816210746765,0.10000000149011612,2.3120193481445312
e761c559,main.py,2022-05-24 18:42:42,2:13:36,completed,vgg16_cifar10,none,cifar10,cuda,vgg16,160,160,magnitude,0.93,160,0.10000000149011612,0.9341999888420105,2.302581310272217,0.31069037318229675,0.9603000283241272,0.10000000149011612,2.302480459213257,0.9345999956130981,0.30398425459861755,0.10000000149011612,2.3091366291046143
f760a2ff,main.py,2022-05-24 18:40:34,1:46:39,completed,vgg16_cifar10,none,cifar10,cuda,vgg16,160,160,magnitude,0.96,160,0.10000000149011612,0.9334999918937683,2.302584409713745,0.3212699890136719,0.9789999723434448,0.10000000149011612,2.302534580230713,0.9354000091552734,0.2857307195663452,0.10000000149011612,2.3063554763793945
72c94d63,main.py,2022-05-24 18:40:04,1:45:59,completed,vgg16_cifar10,none,cifar10,cuda,vgg16,160,160,magnitude,0.97,160,0.10000000149011612,0.9351000189781189,2.3025848865509033,0.3130524158477783,0.9854999780654907,0.10000000149011612,2.3025426864624023,0.9358999729156494,0.30727776885032654,0.10000000149011612,2.3152894973754883
0be8379a,main.py,2022-05-24 18:39:01,1:46:39,completed,vgg16_cifar10,none,cifar10,cuda,vgg16,160,160,magnitude,0.975,160,0.10000000149011612,0.9348999857902527,2.3025848865509033,0.31133610010147095,0.9886999726295471,0.10000000149011612,2.3025283813476562,0.9352999925613403,0.2875158488750458,0.10000000149011612,2.3104474544525146
4c7fac18,main.py,2022-05-24 18:29:18,2:12:17,completed,vgg16_cifar10,none,cifar10,cuda,vgg16,160,160,magnitude,0.98,160,0.10000000149011612,0.9358999729156494,2.302583932876587,0.3106565475463867,0.9918000102043152,0.10000000149011612,2.302504539489746,0.9369000196456909,0.3072957396507263,0.10000000149011612,2.31156063079834
0bdbb925,main.py,2022-05-24 18:25:18,2:12:30,completed,vgg16_cifar10,none,cifar10,cuda,vgg16,160,160,magnitude,0.985,160,0.10000000149011612,0.9337999820709229,2.3025848865509033,0.3101801872253418,0.9941999912261963,0.10000000149011612,2.3025200366973877,0.9350000023841858,0.2977016568183899,0.10000000149011612,2.3110060691833496
2f1d25b4,main.py,2022-05-24 17:59:22,1:59:25,completed,vgg16_cifar10,none,cifar10,cuda,vgg16,160,160,magnitude,0.99,160,0.10000000149011612,0.9345999956130981,2.302588939666748,0.31807783246040344,0.9968000054359436,0.10000000149011612,2.302541971206665,0.9348000288009644,0.3065175712108612,0.10000000149011612,2.3124494552612305
b875a206,main.py,2022-05-24 17:04:21,2:06:03,completed,vgg16_cifar10,none,cifar10,cuda,vgg16,160,160,relative_error,0.5,160,0.9419000148773193,0.934499979019165,0.2668547034263611,0.30802226066589355,0.5501999855041504,0.9420999884605408,0.2657298147678375,0.9362999796867371,0.2929772436618805,0.9232000112533569,0.38513633608818054
e70efe0f,main.py,2022-05-24 16:56:08,1:48:07,completed,vgg16_cifar10,none,cifar10,cuda,vgg16,160,160,relative_error,0.7,160,0.9383000135421753,0.9368000030517578,0.28020867705345154,0.3145938217639923,0.7566999793052673,0.9401000142097473,0.28020867705345154,0.9368000030517578,0.30164045095443726,0.9110000133514404,0.43562692403793335
23215624,main.py,2022-05-24 16:55:26,1:47:34,completed,vgg16_cifar10,none,cifar10,cuda,vgg16,160,160,relative_error,0.89,160,0.9327999949455261,0.9355999827384949,0.31415727734565735,0.3252657651901245,0.910099983215332,0.9340999722480774,0.29541370272636414,0.9373999834060669,0.30995845794677734,0.23680000007152557,2.406783103942871
d39d5066,main.py,2022-05-24 16:54:01,1:46:32,completed,vgg16_cifar10,none,cifar10,cuda,vgg16,160,160,relative_error,0.93,160,0.921999990940094,0.9325000047683716,0.3750632703304291,0.31971976161003113,0.9438999891281128,0.923799991607666,0.30358487367630005,0.9337000250816345,0.30560171604156494,0.10029999911785126,2.3768510818481445
74b288b7,main.py,2022-05-24 16:53:08,1:46:55,completed,vgg16_cifar10,none,cifar10,cuda,vgg16,160,160,relative_error,0.96,160,0.8730000257492065,0.9358999729156494,0.4417172074317932,0.30451861023902893,0.9689000248908997,0.8770999908447266,0.41623997688293457,0.9361000061035156,0.3017309308052063,0.10000000149011612,2.3173208236694336
c53ed931,main.py,2022-05-24 16:50:41,1:48:19,completed,vgg16_cifar10,none,cifar10,cuda,vgg16,160,160,relative_error,0.97,160,0.8306000232696533,0.9319000244140625,0.5233786106109619,0.3285845220088959,0.9764999747276306,0.832099974155426,0.5213596820831299,0.9333999752998352,0.31165722012519836,0.10000000149011612,2.3186607360839844
f9f8101b,main.py,2022-05-24 16:30:04,2:13:15,completed,vgg16_cifar10,none,cifar10,cuda,vgg16,160,160,relative_error,0.975,160,0.10000000149011612,0.9366999864578247,2.302586078643799,0.2966310679912567,0.9807999730110168,0.10000000149011612,2.302511215209961,0.9379000067710876,0.29338976740837097,0.10000000149011612,2.325913190841675
03e244ce,main.py,2022-05-24 16:28:29,2:14:11,completed,vgg16_cifar10,none,cifar10,cuda,vgg16,160,160,relative_error,0.98,160,0.10000000149011612,0.9348999857902527,2.302584648132324,0.3139745891094208,0.9857000112533569,0.10000000149011612,2.302516460418701,0.9358999729156494,0.30710864067077637,0.10000000149011612,2.3120014667510986
a95c3cf6,main.py,2022-05-24 16:20:05,2:09:12,completed,vgg16_cifar10,none,cifar10,cuda,vgg16,160,160,relative_error,0.985,160,0.10000000149011612,0.9363999962806702,2.302583694458008,0.3131546080112457,0.9886999726295471,0.10000000149011612,2.302522659301758,0.9377999901771545,0.2901804447174072,0.10000000149011612,2.31103253364563
c1a32c3d,main.py,2022-05-24 16:17:12,2:08:06,completed,vgg16_cifar10,none,cifar10,cuda,vgg16,160,160,relative_error,0.99,160,0.10000000149011612,0.9348999857902527,2.302583694458008,0.32013702392578125,0.9930999875068665,0.10000000149011612,2.3025145530700684,0.9348999857902527,0.31178972125053406,0.10000000149011612,2.309274911880493
bf07e502,main.py,2022-05-24 15:47:30,2:11:52,completed,vgg16_cifar10,none,cifar10,cuda,vgg16,160,160,alignment_output_sampling,0.5,160,0.10000000149011612,0.9333000183105469,2.3025834560394287,0.3197396993637085,0.589900016784668,0.10000000149011612,2.3025026321411133,0.9336000084877014,0.3008310794830322,0.10000000149011612,2.3025245666503906
